"Sample","est","se"
"Long-term_2019_119_1",-2.43739780248709,0.673956785880335
"Long-term_2019_13_1",0.178957550525665,0.654413478321506
"Long-term_2019_19_1",-0.936141083780676,0.7288632192921
"Long-term_2019_191_1",0.490322409979999,0.906720854806128
"Long-term_2019_209R_1",-1.53583244472742,0.662807317870935
"Long-term_2019_21_1",-0.0305802097293115,0.969582059503658
"Long-term_2019_222_1",-0.789337182668967,0.728657018172287
"Long-term_2019_252_1",-1.23168039545417,0.730932006265502
"Long-term_2019_265_1",-1.00134053975344,0.720829851083125
"Long-term_2019_281_1",-0.466095472131649,0.846070258324045
"Long-term_2019_29_1",-1.50575455360114,0.758513619716677
"Long-term_2019_3_1",-2.16609157837991,0.842883630238971
"Long-term_2019_305R_1",-0.984488557577133,0.632772236983854
"Long-term_2019_34_1",-1.53735365594511,0.734859998752303
"Long-term_2019_38_1",-0.445091977939008,0.595908510995981
"Long-term_2019_4_1",-0.78262134254075,0.843577544093532
"Long-term_2019_40_1",0.0908292538672684,0.896495921856628
"Long-term_2019_40005_1",-0.655307108864653,0.635783367684957
"Long-term_2019_40006_1",-1.11566841602326,0.936030308627687
"Long-term_2019_40007_1",0.295943867808406,0.749477701779176
"Long-term_2019_40008_1",-0.997461023647338,0.697497790746693
"Long-term_2019_40009_1",-0.0112807450443507,0.672168300635202
"Long-term_2019_40010_1",-0.265075731014832,0.891436645697845
"Long-term_2019_40011_1",-1.40546024691469,0.815649382196682
"Long-term_2019_40012_1",0.439166814180767,0.855342837562771
"Long-term_2019_40013_1",-1.15574255973101,0.787350868481565
"Long-term_2019_40015_1",-0.442176551987466,0.866856032591951
"Long-term_2019_40016_1",-1.65151031795481,0.660901102194141
"Long-term_2019_40017_1",-3.57658336596412,0.746310677524927
"Long-term_2019_40020_1",2.8518947526878,0.868598337747555
"Long-term_2019_40021_1",-0.470991184059529,0.596016860494545
"Long-term_2019_40022_1",-1.22092773361656,0.749048140307161
"Long-term_2019_40025_1",-0.915039255023003,0.60962227180036
"Long-term_2019_40026_1",-2.03012116400293,0.597467864097278
"Long-term_2019_40027_1",-0.685914821014159,0.765402736560144
"Long-term_2019_40028_1",-1.75677587321028,0.668745655397216
"Long-term_2019_40029_1",-0.379699753884927,0.681860131373695
"Long-term_2019_40030_1",-1.32724628761411,0.755305440557736
"Long-term_2019_40032_1",-0.955876800566912,0.691349501141205
"Long-term_2019_40034_1",-2.21759750064237,0.771410206837394
"Long-term_2019_40036_1",-0.832966346740719,0.926930975591751
"Long-term_2019_40037_1",-0.32728143458199,0.661878549107132
"Long-term_2019_40038_1",-0.786298503022983,0.753424465455864
"Long-term_2019_44_1",-1.14283459961414,0.819255424224905
"Long-term_2019_49_1",-1.59517992088615,0.692954572978403
"Long-term_2019_52_1",-0.142334632701333,0.844122968411787
"Long-term_2019_BLL009_1",0.180141353996623,0.714778955353281
"Long-term_2019_HCB003_1",-0.452045944724233,0.735295210462948
