"Sample","est","se"
"Long-term_2019_119_1",-2.3196023095105,0.623007484930274
"Long-term_2019_13_1",0.287615549061553,0.282016618029246
"Long-term_2019_19_1",-0.361618234989474,0.432339872985618
"Long-term_2019_191_1",0.645967054710156,0.586680886480988
"Long-term_2019_209R_1",-1.49112021562541,0.592243413588701
"Long-term_2019_21_1",0.454601128024631,0.58264281275787
"Long-term_2019_222_1",-0.188839736425088,0.53362838083667
"Long-term_2019_252_1",-0.843912806934407,0.47017859581112
"Long-term_2019_265_1",-0.630945776500902,0.395248638245775
"Long-term_2019_281_1",0.167108245109991,0.200660106203149
"Long-term_2019_29_1",-0.0177122055795103,0.0277128579287567
"Long-term_2019_3_1",-1.63386633303388,0.631427564802409
"Long-term_2019_305R_1",-0.69315898351204,0.400819235228882
"Long-term_2019_34_1",-0.714774380104712,0.372208381965608
"Long-term_2019_38_1",0.0574972130916143,0.154738880467657
"Long-term_2019_4_1",-0.258954392113228,0.420031849521416
"Long-term_2019_40_1",0.489551697578838,0.712995216125889
"Long-term_2019_40005_1",-0.347203949999319,0.476621501692178
"Long-term_2019_40006_1",-0.372098945827178,0.781576149795787
"Long-term_2019_40007_1",0.545915817604189,0.634931255396782
"Long-term_2019_40008_1",-0.558833847790852,0.352467211290487
"Long-term_2019_40009_1",0.281904797294122,0.493104921028689
"Long-term_2019_40010_1",0.0788960697393428,0.220269923928719
"Long-term_2019_40011_1",-0.605864662401993,0.390661744701937
"Long-term_2019_40012_1",0.67259867572439,0.744408768297124
"Long-term_2019_40013_1",-0.231019851278194,0.19301444900249
"Long-term_2019_40015_1",-0.134666735289308,0.156922993612697
"Long-term_2019_40016_1",-1.22832302723623,0.487669063397635
"Long-term_2019_40017_1",-3.2646327730959,0.682134209712068
"Long-term_2019_40020_1",2.78765386599664,0.8138340817565
"Long-term_2019_40021_1",0.0184964440143059,0.261036089148262
"Long-term_2019_40022_1",-0.889613246139609,0.488546628785595
"Long-term_2019_40025_1",-0.0497730476703692,0.0449257514563315
"Long-term_2019_40026_1",-1.5323702482689,0.467183381912093
"Long-term_2019_40027_1",-0.35090206221076,0.291198988905177
"Long-term_2019_40028_1",-1.08804955993506,0.439130346549811
"Long-term_2019_40029_1",0.0244057061940394,0.366839140588155
"Long-term_2019_40030_1",-0.878220745840444,0.469783805727018
"Long-term_2019_40032_1",-0.111738767510315,0.095409214850553
"Long-term_2019_40034_1",-2.10528408162356,0.697651619012788
"Long-term_2019_40036_1",-0.0628900260551053,0.627940827567532
"Long-term_2019_40037_1",-0.438628253914305,0.402150033218765
"Long-term_2019_40038_1",0.142760530278019,0.217681409687306
"Long-term_2019_44_1",-0.118521695361669,0.305154364191162
"Long-term_2019_49_1",-0.984411993414615,0.442930407193418
"Long-term_2019_52_1",0.297696021420542,0.611440524601288
"Long-term_2019_BLL009_1",0.396516231438687,0.438295424656439
"Long-term_2019_HCB003_1",-0.174878810250034,0.165725996209235
