"Sample","est","se"
"Long-term_2017_119_1",-2.08038563003383,0.266720916703549
"Long-term_2017_13_1",-0.080570795922541,0.45078855092143
"Long-term_2017_19_1",0.427168417950197,0.290378701585543
"Long-term_2017_191_1",1.279746465593,0.318638945733975
"Long-term_2017_209R_1",-1.27936124212022,0.258187735519221
"Long-term_2017_21_1",1.07356788592309,0.344162579875307
"Long-term_2017_222_1",-0.248945109628199,0.247409166754145
"Long-term_2017_252_1",-0.299722123799911,0.242920247419492
"Long-term_2017_265_1",-0.556556079726058,0.176508685877348
"Long-term_2017_281_1",0.16005070907924,0.227755005020549
"Long-term_2017_29_1",-0.127500658255303,0.299821945326504
"Long-term_2017_3_1",-0.980671693350669,0.220980225723176
"Long-term_2017_305R_1",-0.570863756137615,0.217216756010444
"Long-term_2017_34_1",-0.267291815270005,0.240875525398654
"Long-term_2017_38_1",0.0033258357772138,0.205905746491601
"Long-term_2017_4_1",-0.403865829700844,0.264939710199362
"Long-term_2017_40_1",1.41392046584092,0.383943279841158
"Long-term_2017_40005_1",-0.484328852475446,0.31970197073617
"Long-term_2017_40005_2",0.399710706239649,0.366769761713203
"Long-term_2017_40005_3",-0.0407878924744061,0.310823980813151
"Long-term_2017_40006_1",1.08250943705389,0.313868505657451
"Long-term_2017_40006_2",1.03237261212153,0.332494609563573
"Long-term_2017_40006_3",1.65573642503021,0.297829170305373
"Long-term_2017_40007_1",1.36118507305226,0.297914716744179
"Long-term_2017_40007_2",1.30178334156894,0.309111501760786
"Long-term_2017_40007_3",1.55567273329125,0.341356840644356
"Long-term_2017_40008_1",-0.499727955845465,0.197502576361592
"Long-term_2017_40008_2",-0.325401146435716,0.19203026799397
"Long-term_2017_40008_3",-0.483820960871817,0.178787351856398
"Long-term_2017_40009_1",0.786980312957457,0.438858436777962
"Long-term_2017_40009_2",-0.576503750612027,0.333990033759043
"Long-term_2017_40009_3",0.423236954760333,0.384645442079354
"Long-term_2017_40010_1",-0.0381919307814675,0.349668027503367
"Long-term_2017_40010_2",1.44327203642886,0.340275901239693
"Long-term_2017_40010_3",0.293177503990055,0.24018941707473
"Long-term_2017_40011_1",-0.670397329922409,0.289265114738357
"Long-term_2017_40011_2",-0.717173967505478,0.234212910764699
