"names","est","se"
"Long-term_2017_119_1",-1.86449736415893,0.225148372213558
"Long-term_2017_13_1",-0.196865129838024,0.428935850520676
"Long-term_2017_19_1",0.518646784845915,0.271531959237501
"Long-term_2017_191_1",0.839325186503158,0.299215396449897
"Long-term_2017_209R_1",-1.08558499431312,0.219095662412496
"Long-term_2017_21_1",1.02085453696414,0.325725576264013
"Long-term_2017_222_1",0.0153589075407945,0.235692771794461
"Long-term_2017_252_1",-0.422711740259038,0.225777626248821
"Long-term_2017_265_1",-0.399092838108059,0.183296436103595
"Long-term_2017_281_1",0.367429462629304,0.222264481300602
"Long-term_2017_29_1",-0.0357372255167862,0.278712023265274
"Long-term_2017_3_1",-0.822223120650835,0.210396575765023
"Long-term_2017_305R_1",-0.619065025616362,0.198576746778921
"Long-term_2017_34_1",-0.35946889486615,0.227370758990701
"Long-term_2017_38_1",-0.0881385914795101,0.193631495196811
"Long-term_2017_4_1",-0.203002712496163,0.220602917830568
"Long-term_2017_40_1",1.8439868475306,0.371189524403753
"Long-term_2017_40005_1",0.176796077386152,0.30495310057509
"Long-term_2017_40005_2",0.570013653467176,0.362238980119158
"Long-term_2017_40005_3",0.0407773003948387,0.354364300728294
"Long-term_2017_40006_1",1.33629924405832,0.333088146224419
"Long-term_2017_40006_2",1.05269831815291,0.331141150862835
"Long-term_2017_40006_3",2.01788803198015,0.349926688676416
"Long-term_2017_40007_1",1.54286233944634,0.301483767496309
"Long-term_2017_40007_2",1.70642934921677,0.323709305799814
"Long-term_2017_40007_3",1.28886569160423,0.342803018866995
"Long-term_2017_40008_1",-0.386242374798458,0.210684650260672
"Long-term_2017_40008_2",-0.169396199915027,0.202932723027026
"Long-term_2017_40008_3",-0.343373347435965,0.212402287716815
"Long-term_2017_40009_1",0.488183165314179,0.425778528982779
"Long-term_2017_40009_2",-0.806052674735765,0.333981588485686
"Long-term_2017_40009_3",0.232921614832251,0.382334921236916
"Long-term_2017_40010_1",-0.318219119310379,0.340073202797693
"Long-term_2017_40010_2",0.643204228248761,0.325549151185167
"Long-term_2017_40010_3",0.407993725047273,0.268786432995854
"Long-term_2017_40011_1",-0.558880698567073,0.273581111653068
"Long-term_2017_40011_2",-0.39953805566387,0.2355582052471
"Long-term_2017_40011_3",-0.174159013355384,0.235851757079806
"Long-term_2017_40012_1",1.60472995877373,0.416408726508952
"Long-term_2017_40012_2",0.929611106362521,0.384550421917364
"Long-term_2017_40012_3",-0.300475962451208,0.370310361802228
"Long-term_2017_40013_1",0.193198820420826,0.379980997427168
"Long-term_2017_40013_2",0.0669559066553484,0.287543618445489
"Long-term_2017_40013_3",0.175972781061419,0.387267045344754
"Long-term_2017_40015_1",-0.208254554234591,0.237312929624906
"Long-term_2017_40015_2",0.0757347761119854,0.285964659800662
"Long-term_2017_40015_3",-0.0592184985615313,0.253357401748534
"Long-term_2017_40016_1",-0.700565883011805,0.224427792291247
