"Parameter","Acromegalomma","Alcyonidium","Alvania","Americhelidium_shoemakeri","Ampelisca_careyi","Ampelisca_hancocki","Ampharete_labrops","Aoroides","Aoroides_inermis","Aphelochaeta_glandaria_Cmplx","Aricidea_Acmira_catherinae","Aricidea_Acmira_lopezi","Bathymedon","Boccardia_pugettensis","Byblis","Calocarides","Celleporella_hyalina","Chaetoderma","Chaetozone_camasetosa","Chaetozone_pugettensis","Chirimia","Chondrochelia_savignyi","Cistenides_granulata","Clinocardium","Clymenura_gracilis","Clytia","Compsomyax","Cossura_bansei","Crangon","Desdimelita_desdichada","Diastylis_pellucida","Diastylis_santamariensis","Diopatra","Dipolydora_cardalia_socialis_Cmplx","Dipolydora_caulleryi","Dyopedos","Edwardsia","Eteone","Euclymene","Eudorellopsis_longirostris","Eumida_longicornuta","Euphilomedes_carcharodonta","Exogone_Exogone_lourei","Exogone_dwisula","Glycera_americana","Glycinde","Glycinde_picta","Heterophoxus_affinis","Hiatella_arctica","Hippomedon","Keenaea_centifilosa","Kurtiella_tumida","Leptostylis","Leukoma_staminea","Lirobittium","Lumbrineris_californiensis","Lyonsia_californica","Macoma_golikovi","Macoploma_yoldiformis","Magelona_longicornis","Mediomastus","Micropodarke_dubia","Mya_arenaria","Nassarius_mendicus","Neotrypaea","Nephasoma","Notomastus_hemipodus","Nutricola_lordi","Onuphis","Onuphis_elegans","Onuphis_iridescens","Orchomenella_pacifica","Owenia_johnsoni","Paraphoxus","Parvilucina_tenuisculpta","Pentamera","Pholoides_asperus","Phoronis","Photis","Phyllochaetopterus_prolifica","Phyllodoce","Pinnixa_schmitti","Pista_estevanica","Platynereis_bicanaliculata","Podarkeopsis_glabrus","Prionospio_steenstrupi","Rhepoxynius_boreovariatus","Rhodine_bitorquata","Scoloplos_acmeceps","Sigambra_nr_bassi","Solamen_columbianum","Syllis_heterochaeta","Tellina_modesta","Thysanocardia","Travisia_brevis","Turbonilla","Westwoodilla_tone","Ampharete","Axinopsida_serricata","Cossura_pygodactylata","Ennucula_tenuis","Euclymeninae","Euphilomedes_producta","Galathowenia_oculata","Glycera_nana","Glycinde_armigera","Heteromastus_filobranchus","Leitoscoloplos_pugettensis","Levinsenia_gracilis","Lucinoma_annulatum","Macoma_carlottensis","Micronephthys_cornuta","Micrura","Mitrella_gausapata","Nephtys_ferruginea","Odostomia","Paraprionospio","Prionospio_lighti","Scoletoma","Spiophanes_berkeleyorum","Sternaspis","Terebellides","Terebellides_californica","Tubulanus_polymorphus"
"(Intercept)",-4.04214948413914,-6.98351563031266,-1.9378044295571,-7.5094735387005,-5.32341638129926,13.828240570138,-5.53070907934365,0.244149679190232,-2.45992461131937,-0.995125396427056,-4.21967457272812,-20.551018369859,-2.00152023853704,-3.10731820216798,-3.2223662090611,-2.88690197228105,-4.8845545251781,-5.15552087425691,-4.41916766148098,1.39558485727489,-5.81268259562091,-5.84538486340902,-4.96620324457878,-22.9457296735525,-3.99455337133302,-3.94777469433775,-21.1747883720193,-4.08214025761272,-3.4098922388095,-2.50518045232565,-1.5655831743142,-4.35474888748419,-3.42380565678114,-0.274347083468917,-4.83680212482403,-2.73949074111825,-5.7841957683389,-6.72248226689144,-3.17760503277101,-3.07026369238512,-3.13414996655373,-3.50379687069919,-3.78847357923107,-4.96552993450698,-2.5895910599162,-5.64572070548079,-0.661005562333601,5.87890427722995,-4.42220115890376,-7.67033047889955,-2.99399842925337,1.10440138171374,-3.35168768339431,-8.37915469781058,-1.12005507790687,-9.25730500057217,1.38814183455285,-1.15903298586909,-5.13492915426387,-3.56034180585047,-2.6885460176293,-3.87981428614307,-5.88413465954404,-7.55401668870725,-6.27639286522131,-4.53882929441543,-2.47476009188342,-1.18193565981264,-5.3882369304849,8.2651359289958,-4.79997506824217,-2.65951202947513,-3.66807864227555,-3.28590352658307,22.6312258842062,-4.78309786295992,-5.81148027401145,-3.77553058177619,-3.44057728928401,-4.88085382229464,-2.86982435398763,-1.93240262446606,-4.09617520558357,-4.84990880895169,14.4841527543997,-5.05917400551825,-6.7046688184702,-2.96530748467763,-5.56714503395865,-1.2451192045751,-4.07158356726212,-3.82399686653383,-1.60431621595334,-2.15486383708667,-4.43634025572534,-2.42500894789699,-3.24666580027932,-1.41888451858453,2.38562965321453,-0.377762505558829,-0.884119328576707,-1.12663190204442,-0.917189201600642,-0.777473212840859,0.46134556650262,0.354288428239987,-0.0168763320910624,-1.49602753369098,-1.40061351420554,-2.78634805912962,1.00533905730628,-0.209588926675247,-1.43631246530569,-3.01192928561024,-0.491339707996966,-1.13375808754736,-0.0151014080937509,0.652203588343868,-2.92292147643076,0.633723760089144,-2.98641095261572,-3.53443250307666,-1.62009067765644,-2.2394341092689
"Depth",0.00274142222113985,-0.00753675830376346,-0.00809247423001482,0.0159975498375272,0.00639942480422576,-0.0015050000259673,-0.0350207648297417,0,0,-0.0170215046307528,0.0104726900447459,0.00338055131540481,0.0108304554796242,-0.021853288946571,-0.00495283327670967,0.00955327112612836,-0.00471668300135441,0.0108421074115383,0.0140106467510048,-0.012308555730849,0.010529347197124,-0.00670482661604291,-0.0147034618873602,-0.100792083126311,0,0,-0.00906262609892661,0.0115526167452195,-0.0109456772378931,-0.00655990020000286,0.0143276019843539,-0.0136903607907242,0,-0.00407742378567156,0.00710268338201935,0.0113267527702474,-0.0111413192120782,-0.003952691448992,-0.00217673337221553,0.00881580615406888,-0.00308379375635895,-0.0119830353032697,0,-0.00396677905597953,-0.00977189387154177,-0.0211831683848498,-0.0108332998507699,0.00473181766562594,-0.000304862994680583,0,0.00664498756028238,-0.00535255862830294,0.0108703360406337,-0.0759578858080738,0.0134947323554173,-0.010986900824643,-0.00562762424032643,-0.00349383845524177,-0.00116847600903516,-0.00743222623012861,0.00821214045740422,0,-0.0127481568637433,-0.0209579641580689,-0.00760769158209249,0.00712535401885929,0,-0.02154745632048,-0.00450983131677077,-0.0119895873514955,0.0146306092484503,0.0145812647905077,0,0.00972885089118042,0.00640250954605382,0,0,-0.00531897309607695,0.0037572952904555,0,0.0091435568972884,-0.0250387087804083,0,-0.00730250567500795,-0.0232446328408948,0.00255883361031012,0,0,-0.00805389882221894,-0.00258119224900276,0,0,0,-0.00861823982122211,0.00540697781321579,0,-0.000832016755812056,0,0.0139707701830831,0,-0.00218274782145239,-0.00387630960508712,0.0113019413546245,0,0,0.00292458432607375,0.00322294831341522,0.00434564229876999,0.00452627713404797,0.00273288719328409,0.0109924161561391,-0.00269210941985385,-0.0105423605175031,0,0.00377382036561593,-0.0104150002783989,-0.00612182574101475,0.00461659575476862,0,0,-0.007587463628138,-0.00857126210610245,-0.00496434843334116,-0.00273228549130866
"Penetration",-0.176840704829421,-0.297467742743478,-0.253629613581719,-0.474618023235109,-0.157206208334044,-0.134879619003644,-0.0527294534966054,-0.208692253911902,-0.301448660815352,0,-0.287321307510956,0.142512595651427,0.262138996982399,-0.333069757519898,-0.471408651175821,0.179320328060063,-0.287034495364516,0.13030761846817,0.208657462970645,-0.0899087283524369,0,-0.340148709007859,-0.328395362636393,-0.398765226358262,-0.244739819533757,-0.232508038403968,-0.128698835755028,0.250254384450383,0,-0.208355177042071,0,-0.277538794555213,-0.200345755034719,-0.219081554676199,-0.160162986995024,0,-0.191124945223433,-0.218674328074846,-0.204940605556049,-0.126469931003878,-0.241377217834287,-0.311913235414739,-0.313934664263415,-0.363859874355793,-0.243015164043897,-0.171470477810586,-0.107570251782543,0,-0.328934748238389,-0.570711400886136,-0.160347731277891,-0.253402929687514,-0.152988656538125,-0.236674759106558,-0.0979214549200339,-0.420698677590686,-0.170891234887239,-0.198003661505531,-0.263894362756023,-0.301861678864948,-0.322353735852452,-0.245082625197725,-0.245080300415786,0,-0.0490369215997705,-0.112010187428646,-0.164635961092307,-0.143054040512095,-0.450648047643026,-0.3805094491404,0.0657983417779134,-0.144115889559471,-0.301131143205758,0.220374889216698,-0.19813369908848,-0.236942287180615,-0.218660958818605,-0.260664877225429,-0.349755455693171,-0.267161117501628,-0.284201333290051,-0.0421217923299591,-0.283521907365886,-0.302172522467759,0.271290653554502,-0.206169885503685,-0.445692752970826,-0.239098592116914,-0.246435784355183,0.240803621222517,-0.229350118238002,-0.12903691517425,-0.244395751657789,-0.363546610675413,-0.170809141254556,-0.207438905465239,-0.203937434889815,-0.113114375938352,-0.165527269844746,0,-0.103655061450936,-0.175065383257987,-0.109561503587157,-0.052807871312382,0,0,0.042630798890129,-0.170751114704547,0,-0.147119535686106,0,0.0300094026342632,-0.103324111823138,-0.114655336567659,-0.156475682561961,0,0,0,-0.194668798205059,0,-0.0546116865082777,-0.0705780695736394,0,0
"Salinity",0,0.1025924765494,0.0703051334897488,-0.182424260015219,-0.202435670421727,1.25386601476728,0,0.3012221042523,0.143368967059084,0,0,-1.66696554817191,-0.159846916074401,0.314923413003441,0.224770687333345,-0.0847694679546836,0,-0.191498953093217,-0.234711854564321,0.28790851355267,-0.202626745247487,0,0.0725220256082794,-0.781787986571265,0,0,-0.831177790502456,-0.25561211018937,0,0.147269820552881,0,0.0488419698778374,0.0857893867712119,0,0.0341414541648968,0,0.055760897529538,-0.16275849459518,0,0,0.0334809186321078,0.0540431563113944,0,0.0522153803234298,0.120360122372785,0,0.053133498376598,0.514014348363712,0.203149887816384,0.155479427381476,0,0.194731736061086,0,0.165903008038956,0.0962909182518692,0.178872987684249,0.341856855788443,0.152192840477421,0.0766100608548428,0,-0.0892147608024583,0.0255342548319366,0,-0.230749405581344,0.0877917502241364,-0.0668961608580209,0,0.0576411566923883,0.138588753491464,1.1434745538075,-0.270731855462633,0,0,0,1.74692001680339,0,0,0,0,0,0,0.118782462379722,0,0.0527776088598457,1.07225415577954,-0.283469936500606,-0.0946501059720371,0.0348211200540535,-0.128435490719704,0,0,0,0.0407995802389121,0.161937366687591,-0.0418598625872113,0,0,0,-0.0201518601336771,0,0.0181157126213579,0.0533858211694414,0,0,0,0.0513123125575295,-0.0259756393720734,-0.135580668384455,0,0.0212473309686143,0,0,-0.0426537249310794,0,0,0,0,0,-0.134526867417454,0,-0.109599255828847,0,0,-0.115612437184988
"Temperature",0,-0.740607956072978,-0.116924664644675,0.342037862810114,0,3.74312857983035,0,0,0,0,0.151532069733466,-6.15031158973787,0.211500586157863,-0.218766966895124,0,0,0,-0.295655890069039,0.0319395766606736,0,0,0,0,-1.60397714086555,0,0,-3.80197950970652,0,0,0,0,0.0217156701328545,-0.263975685878926,0.299571317262256,-0.306723612139811,0,-0.315201349359296,0,0,0,0,0,0,0,0,0,0.142312585004572,0,-0.418278741782908,-0.285562983460685,-0.108270011223121,0,0,0,-0.120672381850655,-0.976557775687882,-0.106560928010718,0,-0.474593061419524,0,0,0,-0.0559339372308565,0,-0.956863198260559,0,0,0,0,2.29421118257119,0.0607529937319554,0,0,-0.37760873568453,4.93336992917664,0,-0.340954704370427,0.118683918859709,0.151742892448958,0,0,-0.212914984837087,0.151469143474943,0,3.51793822155102,0,0.234465529680386,0,0.135671039066438,0,0,0,0,-0.0477639973096586,0,0,0,0,0.278299302015257,0,0,0,0,0,-2.51038377138728e-16,0,0,0.360859370706889,-0.283824427160923,-0.286979548916683,0,0,0,-0.306545703612512,0,-0.106485451540578,-0.172509768111501,-0.128359866817021,0,0,0,-0.41196794651533,-0.148256132975584,0
"Fines",-0.152818470491645,0,-0.185297910545069,-0.763385864035921,0,-0.514288902038133,-0.219038450341327,0,0,0,0,0.205259264937227,-0.241260661598734,0,0,0,0,0,-0.188989170320705,0,-0.199613478549771,0,0,0.0808377856548139,0,0,-0.0773334803584852,-0.171672493923324,-0.650635349453592,0,0,0,-0.360990289965563,-0.208901387286971,-0.911848447432438,0,0.000771613708315092,0,0,-0.117742123149806,0,0,0,0,0,-0.209415812652426,-0.186893313438039,0.595957353742916,0.25744832846284,0,0,0.255575321426026,0,0.492059096630251,-0.150953466565112,-0.203403300000653,0,-0.141659131222438,0,0,0.0685817830263247,0,0,-0.475674076957422,-0.287411290529923,0,0,0.137744525455242,-0.251344532986662,-0.163455010664736,-0.142732667167558,-0.0933507309979577,0,0,-0.414398303669947,0,0,0.220230957873135,0,0,-0.147683595922941,0,0,0,0.32955708661426,0,-0.639316334856282,0,-0.500009479574825,0,0,0,-0.112862678405932,0,-0.1708443137378,0,-0.519257935366426,0,0.140203453470957,0,0,0,0,0,0,0,0.18091242001572,-0.14387839256425,0,-0.310165236936427,0,0,0.296982095278806,0,0,0,0,0,-0.109054556136077,0,0.433186817353624,-0.257376504515372,-0.337103487915184,0
"Gravel",0.0664935789073439,-0.0230823822655984,0,-0.0105623521010646,0.0717724383119786,0.0642677747026345,-0.044093123280606,0.0538388116452872,0.0249064277306808,0,0.0676147267325684,0.0288118188109121,0.0299903517288121,0.0308665633822807,0,0,0,0.0856714067673322,0.0363412098387926,0,0.123385990140851,0,-0.0344947276246634,-0.0197501910038936,0,0,-0.0933780483991033,0.0722219609207345,0,0.0114328951346049,0,0,0.0476398505642645,0,-0.127280860762619,0.118641563572147,0,0,-0.0332817946641648,0.101531074739167,0,0,0.00732300982456959,0,-0.00319906544074673,0.0736940968105684,0,0,0.0290040870679825,0.044061135748555,0.0689591718956439,-0.0311872833080182,0.0827923204705929,0.0100099651721819,0,0.0350669177657044,0,-0.0273561014656757,0,0,0,0,0,-0.043347379576816,0,0.165448251713279,0.05892758992439,-0.0272172975625572,0.00971839002453136,0.0455886258406326,0.0762593973778472,0,0.00859399662137278,0.0988473658284,-0.0165225181039083,0.0175679964885213,0,-0.0189598112619103,0,0,0.0380855496512242,0,0.065536192899726,0,0.0686061323686419,0.00380439631301203,0.010722291256953,0.0264567735888972,0.0595263952043644,0,0,0.101895530401965,0,0,0.0651419094986624,0,0.0330363847758418,0.0441434771001622,0.0225287944562182,0,-0.0480009537577248,0.0222676038546938,0,0,0,0,-0.0302855244905843,0,0,0,0,0,0.201447262183916,-0.0253128644220905,0.00546403769743788,0,0,0,0.0245161208444741,0,0,0.0288360654396065,0,0
"Salinity:Temperature",0,0,0,0,0,0.264069994026788,-0.003889813868011,0,0,0,0,-0.486216098552409,0,0,0,0.011820289911983,0,0,0,0,0,-0.00333987939813826,0,-0.147937419865307,0,0,-0.178292053322454,0,0,0,0,0,0,-0.0038782500755382,0,0,0,0,0,0,-8.89444946403199e-05,0,0,0,-0.00637304216099223,0.013903768012862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112640891696071,0,0,0.0148976243615199,0,0.0029048763700822,0,-0.0158619238269572,0,0.191610628672665,0,0,-0.00767783070274942,0,0.386562754903314,0,0,0,-0.00483519381670116,0,-0.00579262807100457,0,-0.00246735926670812,0,0.240944500958622,0,0,0,0,0.0221628790316612,0,0.00831367823597958,-0.0166643727088241,0,0,0,0,0,0,0,-0.00590573425044576,0,0,0,0,0,0,0,0,0,0,0,0.0074660828421234,0.00828598990779949,0,0,0,0,0.00239571297100435,0,0,0,0,0
