"Sample","est","se"
"Long-term_2019_119_1",-1.53479372415502,0.274435127085126
"Long-term_2019_13_1",-0.0150059895623337,0.146814240185217
"Long-term_2019_19_1",-0.0704795944583288,0.246493367880868
"Long-term_2019_191_1",0.938924810096159,0.356245657627304
"Long-term_2019_209R_1",-0.472223696364107,0.310119980301036
"Long-term_2019_21_1",0.680657153785917,0.34354763994175
"Long-term_2019_222_1",-0.0931522072424467,0.278935976048248
"Long-term_2019_252_1",-0.393841586346686,0.242944050549622
"Long-term_2019_265_1",-0.284048927699646,0.171336739466936
"Long-term_2019_281_1",0.248154708381843,0.266524997653639
"Long-term_2019_29_1",-0.1061239209114,0.0769911631777651
"Long-term_2019_3_1",-0.595861409619487,0.253363915123959
"Long-term_2019_305R_1",-0.372237484519038,0.223588425317731
"Long-term_2019_34_1",-0.269213597166509,0.21245112402409
"Long-term_2019_38_1",0.0432630656108226,0.122429183248435
"Long-term_2019_4_1",0.242690446978891,0.232330905813352
"Long-term_2019_40_1",1.08698165332558,0.360625034643542
"Long-term_2019_40005_1",0.43371269511748,0.344709697375264
"Long-term_2019_40006_1",-0.345051236221054,0.415802861051146
"Long-term_2019_40007_1",1.37211224223129,0.355906486085314
"Long-term_2019_40008_1",-0.298206248562362,0.171346026883252
"Long-term_2019_40009_1",0.305335847959888,0.23811351917487
"Long-term_2019_40010_1",0.326928270687833,0.239938191291764
"Long-term_2019_40011_1",-0.139871250320767,0.22408909046861
"Long-term_2019_40012_1",1.00422294165153,0.397996122554668
"Long-term_2019_40013_1",0.0531042378688616,0.101775456229289
"Long-term_2019_40015_1",-0.0746660902289332,0.161395933018835
"Long-term_2019_40016_1",-0.547099509205995,0.244465732884523
"Long-term_2019_40017_1",-2.0461994894245,0.344571096227436
"Long-term_2019_40020_1",2.59747847956817,0.358756773397066
"Long-term_2019_40021_1",0.251712510068502,0.231173724873861
"Long-term_2019_40022_1",-0.361620152057483,0.190226608362771
"Long-term_2019_40025_1",0.0341743257109896,0.0322461307660701
"Long-term_2019_40026_1",-1.01459631423185,0.19587269237843
"Long-term_2019_40027_1",-0.290248887180877,0.374744001053096
"Long-term_2019_40028_1",-0.555124771006458,0.223297582770665
"Long-term_2019_40029_1",0.638562633931777,0.290658127108764
"Long-term_2019_40030_1",-0.50664239599219,0.191525109340158
"Long-term_2019_40032_1",-0.666341264820514,0.266897001095384
"Long-term_2019_40034_1",-1.29954290104985,0.361325707450695
"Long-term_2019_40036_1",0.488487904210411,0.336091387976001
"Long-term_2019_40037_1",0.146345379565541,0.23242508279503
"Long-term_2019_40038_1",0.114087818982646,0.0849359185065773
"Long-term_2019_44_1",-0.357899278871477,0.280998939089995
"Long-term_2019_49_1",-0.59683265372661,0.188312016071742
"Long-term_2019_52_1",0.0718823173519577,0.312607307015296
"Long-term_2019_BLL009_1",0.959007025462799,0.312673947610924
"Long-term_2019_HCB003_1",-0.0426155222709585,0.108685890630661
